CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;DT_VALIDADE;CD_UNI_PRO;DS_UNIDADE
820148;579;EMPRE;2022-06-30;20943;FR200ML
799122;579;EMPRE;2022-06-30;20943;FR200ML
750783;605;0363046001;2021-01-12;20944;FR200ML
764718;605;1030046001;2022-01-31;20944;FR200ML
765676;605;1063046001;2022-01-03;20944;FR200ML
766687;605;1093046001;2022-01-04;20944;FR200ML
772915;605;1093046001;2022-01-04;20944;FR200ML
823835;605;1123046001;2022-01-05;20944;FR200ML
821179;605;1123046001;2022-01-05;20944;FR200ML
799120;605;1123046001;2022-01-05;20944;FR200ML
774339;605;1123046001;2022-01-05;20944;FR200ML
773802;605;1123046001;2022-01-05;20944;FR200ML
773403;605;1123046001;2022-01-05;20944;FR200ML
779358;605;1232046001;2022-01-05;20944;FR200ML
830357;605;1245046001;2022-09-30;20944;FR200ML
799117;605;EMPRE;2022-06-30;20944;FR200ML
769321;704;0;2023-01-30;20962;FR125ML
773790;704;123456;2022-01-02;20962;FR125ML
759527;704;100995369;2021-11-10;20962;FR125ML
760777;704; 101004510;2021-11-28;20962;FR125ML
762198;704; 101004510;2021-11-28;20962;FR125ML
763378;704; 101004510;2021-11-28;20962;FR125ML
763706;704;101004510;2022-11-28;20962;FR125ML
760393;704;101004510;2022-11-28;20962;FR125ML
764823;704;101004510;2022-11-28;20962;FR125ML
765427;704;101004510;2022-11-28;20962;FR125ML
775471;704;101027739;2022-12-03;20962;FR125ML
775470;704;101027739;2022-12-03;20962;FR125ML
821204;704;101030122;2022-03-21;20962;FR125ML
800586;704;101030122;2022-03-21;20962;FR125ML
809642;704;101030122;2022-03-21;20962;FR125ML
799986;704;101030122;2022-03-21;20962;FR125ML
779308;704;101030122;2022-03-21;20962;FR125ML
775469;704;101030122;2022-03-21;20962;FR125ML
778210;704;101030122;2022-03-21;20962;FR125ML
805565;704;101039815;2022-04-21;20962;FR125ML
791878;704;101039815;2022-04-21;20962;FR125ML
772250;704;101039815;2022-04-21;20962;FR125ML
829772;704;101052138;2022-06-30;20962;FR125ML
825827;704;101052138;2022-06-30;20962;FR125ML
767851;705;25052021;2023-01-30;20963;FR125ML
767938;705;26052025;2024-01-30;20963;FR125ML
750977;705;100972794;2021-10-17;20963;FR125ML
754187;705;100999459;2021-04-11;20963;FR125ML
779339;705;101013504;2022-07-01;20963;FR125ML
765841;705;101013504;2022-07-01;20963;FR125ML
765840;705;101013504;2022-07-01;20963;FR125ML
769320;705;101013504;2022-07-01;20963;FR125ML
762478;705;101013504;2022-07-01;20963;FR125ML
791833;705;101013504;2023-06-30;20963;FR125ML
773773;705;101013504;2023-06-30;20963;FR125ML
827641;705;101019814;2022-09-02;20963;FR125ML
821334;705;101019814;2022-09-02;20963;FR125ML
821180;705;101019814;2022-09-02;20963;FR125ML
820094;705;101019814;2022-09-02;20963;FR125ML
806071;705;101019814;2022-09-02;20963;FR125ML
811643;705;101019814;2022-09-02;20963;FR125ML
799126;705;101019814;2022-09-02;20963;FR125ML
795725;705;101019814;2022-09-02;20963;FR125ML
779338;705;101019814;2022-09-02;20963;FR125ML
778211;705;101019814;2022-09-02;20963;FR125ML
769637;705;101019814;2022-09-02;20963;FR125ML
769319;705;101019814;2022-09-02;20963;FR125ML
825244;705;101056980;2022-06-26;20963;FR125ML
799119;705;EMPRE;2022-06-30;20963;FR125ML
743487;710;710;2028-06-30;20967;FR200ML
820852;710;16092021;2022-06-30;20967;FR200ML
748864;710;19012021;2021-01-11;20967;FR200ML
746447;710;0313046051;2021-01-11;20967;FR200ML
742832;710;0313046051;2021-01-11;20967;FR200ML
757918;710;0313046051;2021-01-11;20967;FR200ML
742506;710;0313046051;2021-01-11;20967;FR200ML
769411;710;105.104.60.51;2022-01-02;20967;FR200ML
769415;710;105.104.60.51;2022-01-02;20967;FR200ML
722019;722;123;2022-09-30;44632;UNIDADE
803403;722;1904;2028-04-19;44632;UNIDADE
762146;722;1904;2028-04-19;44632;UNIDADE
801424;722;06082021;2025-05-30;44632;UNIDADE
810668;722;27082021;2022-06-30;44632;UNIDADE
722341;722;89409840;2023-10-30;44632;UNIDADE
96900;722;.;2030-12-31;44632;UNIDADE
754598;722;BL601;2023-01-31;44632;UNIDADE
600980;722;BL601;2023-01-31;44632;UNIDADE
775000;722;DL602;2023-03-30;44632;UNIDADE
603972;722;DL602;2023-03-30;44632;UNIDADE
775002;722;EM605;2024-04-30;44632;UNIDADE
726904;722;EM605;2024-04-30;44632;UNIDADE
754603;722;EM605;2024-04-30;44632;UNIDADE
754600;722;GL601;2023-06-30;44632;UNIDADE
657583;722;GL601;2023-06-30;44632;UNIDADE
775001;722;GL607.;2023-06-30;44632;UNIDADE
754601;722;GL613;2023-06-30;44632;UNIDADE
662377;722;GL613;2023-06-30;44632;UNIDADE
657582;722;GL613;2023-06-30;44632;UNIDADE
658641;722;GL613;2023-06-30;44632;UNIDADE
662376;722;KL602;2023-09-30;44632;UNIDADE
775003;722;ML607;2023-11-30;44632;UNIDADE
726516;722;ML607;2023-11-30;44632;UNIDADE
754602;722;ML607;2023-11-30;44632;UNIDADE
681722;722;ML607;2023-11-30;44632;UNIDADE
715346;846;100961360;2023-03-06;20970;FR200ML
710202;846;100961360;2023-03-06;20970;FR200ML
715185;846;100961360;2023-03-06;20970;FR200ML
751170;846;100995766;2021-10-15;20970;FR200ML
752102;846;100995766;2021-10-15;20970;FR200ML
749174;846;100995766;2021-10-15;20970;FR200ML
748299;846;100995766;2021-10-15;20970;FR200ML
760904;846;101004572;2021-11-27;20970;FR200ML
755456;846;101004572;2021-11-27;20970;FR200ML
756741;846;101004572;2021-11-27;20970;FR200ML
752912;846;101004572;2021-11-27;20970;FR200ML
765679;846;101011106;2021-12-23;20970;FR200ML
765680;846;101025014;2022-02-26;20970;FR200ML
773875;846;101038140;2022-04-18;20970;FR200ML
777571;846;101038140;2022-04-18;20970;FR200ML
812028;846;101041129;2022-04-26;20970;FR200ML
805937;846;101041129;2022-04-30;20970;FR200ML
805080;846;101041129;2022-04-30;20970;FR200ML
819675;846;101044545;2022-05-30;20970;FR200ML
820104;846;101044545;2022-05-30;20970;FR200ML
779359;846;1D1038140;2022-04-18;20970;FR200ML
782594;1500;0037;2023-02-28;48872;CP5MG
786813;1500;0037;2023-02-28;48872;CP5MG
775267;1500;0037;2023-02-28;48872;CP5MG
805942;1500;0093;2023-03-30;48872;CP5MG
801541;1500;0093;2023-03-30;48872;CP5MG
808122;1500;0093;2023-03-30;48872;CP5MG
802932;1500;0093;2023-03-30;48872;CP5MG
827678;1500;0093;2023-03-30;48872;CP5MG
811409;1500;0093;2023-03-30;48872;CP5MG
811927;1500;0093;2023-03-30;48872;CP5MG
806519;1500;0093;2023-03-30;48872;CP5MG
782370;1500;0093;2023-03-30;48872;CP5MG
778953;1500;0093;2023-03-30;48872;CP5MG
792859;1500;0093;2023-03-30;48872;CP5MG
775905;1500;0093;2023-03-30;48872;CP5MG
786473;1500;0093;2023-03-30;48872;CP5MG
817157;1500;0392;2023-04-30;48872;CP5MG
805065;1500;0392;2023-04-30;48872;CP5MG
810664;1500;0392;2023-04-30;48872;CP5MG
798723;1500;0392;2023-04-30;48872;CP5MG
800559;1500;0392;2023-04-30;48872;CP5MG
800604;1500;0392;2023-04-30;48872;CP5MG
818312;1500;0392;2023-04-30;48872;CP5MG
811732;1500;0392;2023-04-30;48872;CP5MG
708227;1500;333333;2023-06-15;48872;CP5MG
810666;1500;27082021;2022-06-30;48872;CP5MG
818311;1500;27082021;2022-06-30;48872;CP5MG
811407;1500;27082021;2022-06-30;48872;CP5MG
755009;1500;L961;2021-10-30;48872;CP5MG
708332;1500;L961;2021-10-30;48872;CP5MG
704335;1500;L961;2021-10-30;48872;CP5MG
687957;1500;L961;2021-10-30;48872;CP5MG
704811;1500;L961;2021-10-30;48872;CP5MG
687989;1500;L961;2021-10-30;48872;CP5MG
755008;1500;L967;2021-10-30;48872;CP5MG
692300;1500;L967;2021-10-30;48872;CP5MG
694702;1500;L967;2021-10-30;48872;CP5MG
818309;1500;M100;2021-11-30;48872;CP5MG
755012;1500;M100;2021-11-30;48872;CP5MG
716971;1500;M100;2021-11-30;48872;CP5MG
