CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;CD_UNI_PRO;DT_VALIDADE;DS_UNIDADE
760787;75313;21020051;64248;28/02/2023;FR100MG
760786;75313;21020016;64248;28/02/2023;FR100MG
760785;75313;21010711;64248;30/01/2023;FR100MG
763513;75313;21020051;64248;28/02/2023;FR100MG
763509;75313;21010711;64248;30/01/2023;FR100MG
763502;75313;21020051;64248;28/02/2023;FR100MG
763501;75313;21010711;64248;30/01/2023;FR100MG
772262;75313;21050095;64248;30/05/2023;FR100MG
768010;75313;21040147;64248;30/04/2023;FR100MG
762835;75313;21010711;64248;30/01/2023;FR100MG
774500;75313;21050095;64248;30/05/2023;FR100MG
774499;75313;21030030;64248;30/03/2023;FR100MG
765253;75313;21020051;64248;28/02/2023;FR100MG
765251;75313;21010711;64248;30/01/2023;FR100MG
765250;75313;21030030;64248;30/03/2023;FR100MG
767984;75313;21030030;64248;30/03/2023;FR100MG
762472;75313;21020201;64248;28/02/2023;FR100MG
772152;75313;21040123;64248;30/04/2023;FR100MG
772114;75313;21050096;64248;30/05/2023;FR100MG
762971;75313;21020041;64248;28/02/2023;FR100MG
771884;75313;21050095;64248;30/05/2023;FR100MG
749285;75313;20110011;64248;30/11/2022;FR100MG
734989;75313; 20090356;64248;30/09/2022;FR100MG
750874;75313;20110012;64248;30/11/2022;FR100MG
749353;75313;20100607;64248;30/10/2022;FR100MG
744140;75313;20080682;64248;30/08/2022;FR100MG
745730;75313;20090142;64248;30/09/2022;FR100MG
748465;75313;20100605;64248;30/10/2022;FR100MG
743288;75313;20070772;64248;30/07/2022;FR100MG
747117;75313;20100203;64248;30/10/2022;FR100MG
750253;75313;20110011;64248;30/11/2022;FR100MG
745604;75313;20070387;64248;30/07/2022;FR100MG
745533;75313;20070084;64248;30/07/2022;FR100MG
746009;75313;20080676;64248;30/08/2022;FR100MG
746008;75313;20090358;64248;30/09/2022;FR100MG
743352;75313;20080179;64248;30/08/2022;FR100MG
746234;75313;20090358;64248;30/09/2022;FR100MG
746233;75313;20090355;64248;30/09/2022;FR100MG
746232;75313;20070772;64248;30/07/2022;FR100MG
747516;75313;20090355;64248;30/09/2022;FR100MG
756274;75313;21020016;64248;28/02/2023;FR100MG
753938;75313;20120243;64248;30/12/2022;FR100MG
746254;75313;20090358;64248;30/09/2022;FR100MG
746251;75313;20090355;64248;30/09/2022;FR100MG
753443;75313;20110410;64248;30/11/2022;FR100MG
752397;75313;20120244;64248;30/12/2022;FR100MG
752135;75313;20120244;64248;30/12/2022;FR100MG
752134;75313;20110409;64248;30/11/2022;FR100MG
734706;75313;20070773;64248;30/07/2022;FR100MG
734701;75313;20080049;64248;30/08/2022;FR100MG
741069;75313; 20090356;64248;30/09/2022;FR100MG
